Data As Of,Start Date,End Date,Jurisdiction of Occurrence,Year,Month,All Cause,Natural Cause,Septicemia,Malignant Neoplasms,Diabetes Mellitus,Alzheimer Disease,Influenza and Pneumonia,Chronic Lower Respiratory Diseases,Other Diseases of Respiratory System,"Nephritis, Nephrotic Syndrome and Nephrosis","Symptoms, Signs and Abnormal Clinical and Laboratory Findings, Not Elsewhere Classified",Diseases of Heart,Cerebrovascular Diseases,Accidents (Unintentional Injuries),Motor Vehicle Accidents,Intentional Self-Harm (Suicide),Assault (Homicide),Drug Overdose,COVID-19 (Multiple Cause of Death),COVID-19 (Underlying Cause of Death),flag_accid,flag_mva,flag_suic,flag_homic,flag_drugod
01/25/2023,03/01/2021,03/31/2021,United States,2021,3,271042,245457,3392,50318,8623,9853,3333,11496,3757,4562,2622,57732,13689,18505,3540,3992,1935,9339,23265,19633,,,,,
01/25/2023,04/01/2021,04/30/2021,United States,2021,4,257047,231263,3046,49280,8124,8899,3057,11002,3507,4286,2536,55127,13144,18900,3904,3720,2068,9490,18802,16020,,,,,
01/25/2023,05/01/2021,05/31/2021,United States,2021,5,258360,231635,3111,50587,8021,9156,2926,11369,3713,4303,2585,55420,13129,19139,4123,4093,2361,9334,14988,12744,,,,,
01/25/2023,06/01/2021,06/30/2021,United States,2021,6,245269,218347,3158,49258,7766,8804,2839,11191,3587,4125,2685,53632,12478,19472,4147,4077,2296,9073,8020,6561,,,,,
01/25/2023,07/01/2021,07/31/2021,United States,2021,7,257929,230220,3419,51281,7841,9056,3121,11754,3740,4291,2886,55368,13065,20078,4267,4090,2407,9441,11220,9741,,,,,
01/25/2023,08/01/2021,08/31/2021,United States,2021,8,304052,276341,3405,52355,8731,9739,3412,12189,3842,4415,3141,58456,13307,19943,4370,4366,2304,9415,48812,45466,,,,,
01/25/2023,09/01/2021,09/30/2021,United States,2021,9,312514,285695,3544,50314,8689,9968,3534,11809,3801,4538,3151,56766,13211,19278,4303,4232,2272,8994,63431,59212,,,,,
01/25/2023,10/01/2021,10/31/2021,United States,2021,10,300219,273380,3763,52119,8592,9981,3675,12178,3971,4566,3070,58660,13972,19170,4513,4267,2332,8809,42602,38771,,,,,
01/25/2023,11/01/2021,11/30/2021,United States,2021,11,289077,263564,3615,50326,8781,10382,3814,12179,4066,4574,3222,59239,13989,18503,4017,3952,2022,8325,32327,29008,,,,,
01/25/2023,12/01/2021,12/31/2021,United States,2021,12,320033,293773,3834,52506,9493,10849,4679,13664,4272,5145,3736,64870,14875,19148,3955,3898,2136,8626,45619,41417,,,,,
01/25/2023,01/01/2022,01/31/2022,United States,2022,1,369880,343548,4014,53151,11030,12754,4916,14567,4568,5846,3470,71350,16340,19196,3516,4139,2017,8917,83915,72688,,,,,
01/25/2023,02/01/2022,02/28/2022,United States,2022,2,289987,265928,3320,46283,8472,10457,3549,11677,3778,4902,2915,57874,13804,17563,3244,3793,1825,8428,50174,41014,,,,,
01/25/2023,03/01/2022,03/31/2022,United States,2022,3,268361,242665,3546,50958,8577,9530,3487,12199,4016,5070,3108,58644,13923,18680,3637,4080,1934,9087,15587,11007,,,,,
01/25/2023,04/01/2022,04/30/2022,United States,2022,4,246188,221914,3290,48910,7726,8942,3295,11545,3772,4595,3042,55174,13211,17349,3472,3999,2027,8401,6250,3672,,,,,
01/25/2023,05/01/2022,05/31/2022,United States,2022,5,254852,229211,3340,50649,7868,9388,3413,12042,3788,4622,3342,56216,13217,18182,3922,4353,2197,8504,7608,4834,,,,,
01/25/2023,06/01/2022,06/30/2022,United States,2022,6,248588,223039,3269,49200,7674,9042,3149,11395,3690,4495,3692,54250,12679,18564,3930,4191,2120,8408,9487,6251,,,,,
01/25/2023,07/01/2022,07/31/2022,United States,2022,7,260475,234111,3346,51187,7941,9430,3059,11210,3910,4541,4656,56215,13267,,,,,,13313,8943,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
01/25/2023,08/01/2022,08/31/2022,United States,2022,8,258903,234572,3308,51526,7653,9400,2885,11199,3748,4501,6061,55133,13194,,,,,,13983,9342,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
01/25/2023,09/01/2022,09/30/2022,United States,2022,9,250462,228194,3339,50237,7540,9128,2935,11025,3753,4503,7275,53202,12899,,,,,,10999,7009,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
01/25/2023,10/01/2022,10/31/2022,United States,2022,10,263317,243029,3475,51907,8287,10201,3327,11987,3976,4737,10074,56472,13826,,,,,,9533,6026,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
01/25/2023,11/01/2022,11/30/2022,United States,2022,11,263023,247756,3604,50645,8142,10205,4662,12645,4151,4711,13740,56656,13713,,,,,,9708,6257,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
01/25/2023,12/01/2022,12/31/2022,United States,2022,12,265239,259796,3695,49190,8320,11049,7101,14095,4440,4856,17344,58592,13705,,,,,,12570,8723,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
01/25/2023,01/01/2023,01/21/2023,United States,2023,1,114707,114707,1675,22361,3274,5022,2797,6264,2040,2096,7453,25063,6152,,,,,,6601,4616,Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag),Data not shown (6 month lag)
